,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-3.88e-06,-3.96e-06,-4.03e-06,-4.01e-06,-3.94e-06,-3.91e-06,-3.94e-06,-5.41e-06,-5.51e-06,-5.59e-06,-5.54e-06,-5.4e-06,-5.34e-06,-5.41e-06,-5.48e-06,-5.66e-06,-5.99e-06,-6.46e-06,-7.04e-06,-7.56e-06,-8.01e-06,-8.27e-06,-8.36e-06,-1.04e-05,-1.01e-05,-9.74e-06,-9.25e-06,-8.71e-06,-8.28e-06,-7.88e-06,-7.83e-06,-8.04e-06,-8.33e-06,-8.73e-06,-9.05e-06,-9.27e-06,-9.31e-06,-8.94e-06,-8.35e-06,-8.22e-06
1,-3.96e-06,-4e-06,-4.01e-06,-4.02e-06,-4.07e-06,-4.12e-06,-5.66e-06,-5.69e-06,-5.73e-06,-5.73e-06,-5.66e-06,-5.63e-06,-5.63e-06,-5.74e-06,-5.89e-06,-6.02e-06,-6.27e-06,-6.62e-06,-7.01e-06,-7.22e-06,-7.48e-06,-9.88e-06,-1e-05,-9.67e-06,-9.14e-06,-8.8e-06,-8.45e-06,-8.14e-06,-7.96e-06,-7.66e-06,-7.62e-06,-7.84e-06,-8.18e-06,-8.6e-06,-9.03e-06,-9.28e-06,-9.38e-06,-9.35e-06,-9.02e-06,-8.98e-06
2,-4.01e-06,-3.99e-06,-3.97e-06,-4.02e-06,-4.25e-06,-6.05e-06,-6.19e-06,-6.23e-06,-6.09e-06,-5.86e-06,-5.78e-06,-5.86e-06,-6.03e-06,-6.26e-06,-6.45e-06,-6.47e-06,-6.37e-06,-6.51e-06,-6.77e-06,-6.8e-06,-8.65e-06,-8.99e-06,-9.06e-06,-8.55e-06,-7.96e-06,-7.82e-06,-7.66e-06,-7.62e-06,-7.7e-06,-7.4e-06,-7.4e-06,-7.69e-06,-8.1e-06,-8.5e-06,-8.79e-06,-8.94e-06,-9.19e-06,-9.67e-06,-1.19e-05,-1.2e-05
3,-4.19e-06,-4.15e-06,-4.11e-06,-4.16e-06,-5.87e-06,-6.13e-06,-6.3e-06,-6.37e-06,-6.28e-06,-6.14e-06,-6.11e-06,-6.26e-06,-6.48e-06,-6.63e-06,-6.64e-06,-6.59e-06,-6.45e-06,-6.49e-06,-6.63e-06,-6.59e-06,-8.23e-06,-8.24e-06,-8.01e-06,-7.85e-06,-7.75e-06,-7.75e-06,-7.59e-06,-7.66e-06,-8.02e-06,-7.69e-06,-7.64e-06,-7.86e-06,-8.25e-06,-8.73e-06,-9.01e-06,-9.08e-06,-1.11e-05,-1.16e-05,-1.21e-05,-1.21e-05
4,-4.75e-06,-4.55e-06,-4.4e-06,-5.88e-06,-5.93e-06,-6.03e-06,-6.14e-06,-6.18e-06,-6.27e-06,-6.47e-06,-6.66e-06,-6.77e-06,-6.86e-06,-6.87e-06,-6.72e-06,-6.65e-06,-6.6e-06,-6.58e-06,-6.57e-06,-6.4e-06,-7.83e-06,-7.54e-06,-7.13e-06,-7.23e-06,-7.84e-06,-8.07e-06,-7.82e-06,-7.83e-06,-8.49e-06,-8.57e-06,-8.36e-06,-8.26e-06,-8.56e-06,-9.18e-06,-1.16e-05,-1.15e-05,-1.12e-05,-1.13e-05,-1.15e-05,-1.12e-05
5,-5.28e-06,-6.83e-06,-6.42e-06,-6.16e-06,-6.04e-06,-5.96e-06,-5.97e-06,-6.09e-06,-6.33e-06,-6.63e-06,-6.88e-06,-6.98e-06,-7.01e-06,-7.08e-06,-6.97e-06,-6.83e-06,-6.79e-06,-6.65e-06,-6.47e-06,-6.23e-06,-7.58e-06,-7.29e-06,-7.13e-06,-7.41e-06,-8.06e-06,-8.29e-06,-8.03e-06,-8.1e-06,-8.7e-06,-9.15e-06,-9e-06,-8.78e-06,-9.07e-06,-1.17e-05,-1.23e-05,-1.21e-05,-1.15e-05,-1.12e-05,-1.11e-05,-1.06e-05
6,-7.21e-06,-7.3e-06,-7e-06,-6.6e-06,-6.29e-06,-6.05e-06,-5.99e-06,-6.11e-06,-6.3e-06,-6.48e-06,-6.64e-06,-6.78e-06,-6.86e-06,-7.01e-06,-7.07e-06,-6.99e-06,-6.96e-06,-6.82e-06,-6.63e-06,-8.15e-06,-7.93e-06,-7.76e-06,-7.95e-06,-8.36e-06,-8.6e-06,-8.49e-06,-8.18e-06,-8.04e-06,-8.24e-06,-8.65e-06,-9.11e-06,-9.41e-06,-1.19e-05,-1.26e-05,-1.31e-05,-1.29e-05,-1.18e-05,-1.11e-05,-1.1e-05,-1.06e-05
7,-7.09e-06,-7.46e-06,-7.49e-06,-7.11e-06,-6.6e-06,-6.21e-06,-6.13e-06,-6.23e-06,-6.35e-06,-6.45e-06,-6.54e-06,-6.63e-06,-6.76e-06,-6.97e-06,-7.12e-06,-7.07e-06,-7.04e-06,-7.03e-06,-7.02e-06,-8.81e-06,-8.81e-06,-8.93e-06,-9.12e-06,-9.28e-06,-9.17e-06,-8.81e-06,-8.42e-06,-8.14e-06,-8.12e-06,-8.5e-06,-9.27e-06,-1.21e-05,-1.27e-05,-1.34e-05,-1.4e-05,-1.4e-05,-1.22e-05,-1.13e-05,-1.11e-05,-1.09e-05
8,-6.86e-06,-7.2e-06,-7.33e-06,-7.05e-06,-6.62e-06,-6.34e-06,-6.4e-06,-6.57e-06,-6.64e-06,-6.65e-06,-6.67e-06,-6.69e-06,-6.79e-06,-6.93e-06,-7.05e-06,-7.07e-06,-7.11e-06,-7.19e-06,-9.21e-06,-9.31e-06,-9.41e-06,-9.56e-06,-9.58e-06,-9.3e-06,-8.86e-06,-8.78e-06,-9.19e-06,-9.57e-06,-9.85e-06,-1.22e-05,-1.3e-05,-1.35e-05,-1.36e-05,-1.39e-05,-1.49e-05,-1.59e-05,-1.45e-05,-1.22e-05,-1.18e-05,-1.15e-05
9,-6.43e-06,-6.47e-06,-6.63e-06,-6.62e-06,-6.46e-06,-6.32e-06,-6.59e-06,-6.96e-06,-7.08e-06,-6.99e-06,-6.88e-06,-6.84e-06,-6.82e-06,-6.84e-06,-6.93e-06,-7.07e-06,-9.18e-06,-9.37e-06,-9.53e-06,-9.71e-06,-9.93e-06,-1e-05,-9.7e-06,-8.88e-06,-8.23e-06,-8.58e-06,-1.21e-05,-1.39e-05,-1.53e-05,-1.55e-05,-1.57e-05,-1.56e-05,-1.49e-05,-1.48e-05,-1.56e-05,-1.76e-05,-1.71e-05,-1.37e-05,-1.28e-05,-1.23e-05
10,-6.17e-06,-6.14e-06,-6.34e-06,-6.54e-06,-6.55e-06,-6.47e-06,-6.75e-06,-6.95e-06,-7.11e-06,-7.19e-06,-7.14e-06,-7.03e-06,-6.96e-06,-6.97e-06,-6.99e-06,-8.88e-06,-9.12e-06,-9.45e-06,-9.8e-06,-1e-05,-1.01e-05,-9.98e-06,-9.47e-06,-8.7e-06,-8.4e-06,-1.09e-05,-1.28e-05,-1.53e-05,-1.74e-05,-1.76e-05,-1.72e-05,-1.7e-05,-1.61e-05,-1.57e-05,-1.66e-05,-1.95e-05,-2.04e-05,-1.62e-05,-1.46e-05,-1.61e-05
11,-5.85e-06,-5.86e-06,-6.12e-06,-6.48e-06,-6.66e-06,-6.66e-06,-6.72e-06,-6.67e-06,-6.74e-06,-6.99e-06,-7.19e-06,-7.25e-06,-9.1e-06,-9.09e-06,-9.04e-06,-8.93e-06,-8.95e-06,-9.24e-06,-9.78e-06,-1.02e-05,-9.82e-06,-9.02e-06,-8.51e-06,-8.6e-06,-1.11e-05,-1.2e-05,-1.33e-05,-1.54e-05,-1.77e-05,-1.8e-05,-1.77e-05,-1.76e-05,-1.71e-05,-1.99e-05,-2.15e-05,-2.57e-05,-2.74e-05,-2.37e-05,-2.14e-05,-1.97e-05
12,-5.9e-06,-5.89e-06,-6.14e-06,-6.62e-06,-6.99e-06,-6.95e-06,-6.75e-06,-6.54e-06,-6.57e-06,-6.81e-06,-8.98e-06,-9.17e-06,-9.28e-06,-9.27e-06,-9.13e-06,-8.99e-06,-8.93e-06,-9.1e-06,-9.53e-06,-9.87e-06,-9.49e-06,-8.47e-06,-8.15e-06,-1.07e-05,-1.21e-05,-1.3e-05,-1.37e-05,-1.52e-05,-1.73e-05,-1.82e-05,-1.81e-05,-2.14e-05,-2.12e-05,-2.15e-05,-2.36e-05,-2.72e-05,-3e-05,-2.83e-05,-2.63e-05,-2.41e-05
13,-7.8e-06,-7.57e-06,-7.66e-06,-8.11e-06,-8.35e-06,-8.09e-06,-7.62e-06,-7.17e-06,-6.88e-06,-8.46e-06,-8.48e-06,-8.66e-06,-8.85e-06,-8.99e-06,-8.82e-06,-8.69e-06,-8.58e-06,-8.6e-06,-8.81e-06,-8.69e-06,-8.47e-06,-8.39e-06,-8.59e-06,-1.18e-05,-1.33e-05,-1.4e-05,-1.42e-05,-1.52e-05,-1.71e-05,-2.14e-05,-2.17e-05,-2.19e-05,-2.16e-05,-2.23e-05,-2.48e-05,-2.89e-05,-3.21e-05,-3.29e-05,-3.27e-05,-3.02e-05
14,-1.14e-05,-1.1e-05,-1.06e-05,-1.06e-05,-1.05e-05,-9.86e-06,-9.08e-06,-1.05e-05,-9.4e-06,-8.44e-06,-8.03e-06,-8.12e-06,-8.39e-06,-8.72e-06,-8.62e-06,-8.38e-06,-8.16e-06,-8.09e-06,-8.16e-06,-7.78e-06,-7.63e-06,-8.32e-06,-1.12e-05,-1.28e-05,-1.43e-05,-1.52e-05,-1.5e-05,-1.53e-05,-1.97e-05,-2.17e-05,-2.24e-05,-2.22e-05,-2.19e-05,-2.26e-05,-2.5e-05,-2.94e-05,-3.37e-05,-3.64e-05,-3.74e-05,-3.63e-05
15,-1.28e-05,-1.28e-05,-1.53e-05,-1.48e-05,-1.45e-05,-1.36e-05,-1.24e-05,-1.12e-05,-1e-05,-8.93e-06,-8.35e-06,-8.24e-06,-8.45e-06,-8.86e-06,-8.9e-06,-8.74e-06,-8.69e-06,-8.52e-06,-8.23e-06,-7.88e-06,-8e-06,-1.09e-05,-1.22e-05,-1.33e-05,-1.44e-05,-1.55e-05,-1.81e-05,-1.78e-05,-1.87e-05,-2.05e-05,-2.17e-05,-2.15e-05,-2.14e-05,-2.19e-05,-2.72e-05,-3.06e-05,-3.38e-05,-3.66e-05,-3.76e-05,-3.84e-05
16,-1.59e-05,-1.57e-05,-1.54e-05,-1.47e-05,-1.4e-05,-1.31e-05,-1.19e-05,-1.11e-05,-1.06e-05,-9.89e-06,-9.08e-06,-8.67e-06,-8.62e-06,-8.92e-06,-9.35e-06,-9.77e-06,-1.01e-05,-1e-05,-9.3e-06,-8.82e-06,-1.12e-05,-1.25e-05,-1.33e-05,-1.36e-05,-1.39e-05,-1.73e-05,-1.79e-05,-1.76e-05,-1.76e-05,-1.83e-05,-1.93e-05,-1.94e-05,-2.21e-05,-2.28e-05,-2.41e-05,-2.55e-05,-2.6e-05,-2.64e-05,-2.67e-05,-2.72e-05
